MAPPED_TRAIT,NLP_TERM,NLP_MESH_ID
"major depressive episode, attention deficit hyperactivity disorder, obesity",depressive episode,
CRK-like protein measurement,CRK-like protein measurement,
CLEC1B/PPP1R2 protein level ratio in blood,CLEC1B/PPP1R2 protein,
ADH4/SCLY protein level ratio in blood,ADH4/SCLY protein,
BCL2/adenovirus E1B 19 kDa protein-interacting protein 3-like measurement,BCL2/adenovirus E1B,
COMT/ITGB1BP2 protein level ratio in blood,COMT/ITGB1BP2 protein,
"social deprivation, systolic blood pressure",social deprivation,D000091489
FABP5/PPCDC protein level ratio in blood,protein level,
HSPA1A/STIP1 protein level ratio in blood,HSPA1A/STIP1 protein,
"response to bevacizumab, chemotherapy-induced hypertension",response,D061745
apolipoprotein D measurement,apolipoprotein D measurement,
DBI/MESD protein level ratio in blood,DBI/MESD protein,
CD209/ICAM2 protein level ratio in blood,CD209/ICAM2 protein,
LYN/SIRT2 protein level ratio in blood,LYN/SIRT2 protein,
PDGFB/TIMP3 protein level ratio in blood,PDGFB/TIMP3 protein,
ADH4/RBP5 protein level ratio in blood,protein level,
kinetochore protein NDC80 homolog measurement,NDC80,
SPINK1/TFF3 protein level ratio in blood,SPINK1/TFF3 protein,
cholesterol efflux capacity measurement,cholesterol efflux,
"glucose homeostasis trait, acute insulin response measurement",glucose homeostasis,
CD58/IFNGR1 protein level ratio in blood,CD58/IFNGR1 protein,
CCL5/SERPINE1 protein level ratio in blood,CCL5/SERPINE1 protein,
alcoholic liver cirrhosis,alcoholic liver cirrhosis,
fibroblast growth factor receptor 1 amount,fibroblast growth factor receptor 1,
SERPINE1/SPARC protein level ratio in blood,SERPINE1/SPARC protein,
ADH4/GSTA1 protein level ratio in blood,ADH4/GSTA1 protein,
KIFBP/LYN protein level ratio in blood,KIFBP/LYN protein,
CPB1/KIRREL2 protein level ratio in blood,CPB1/KIRREL2 protein,
REG1A/REG3A protein level ratio in blood,REG1A/REG3A protein,
CD27/DLL1 protein level ratio in blood,CD27/DLL1 protein,
PPP1R2/TMSB10 protein level ratio in blood,PPP1R2/TMSB10 protein,
PDGFB/TNFSF13 protein level ratio in blood,PDGFB/TNFSF13 protein,
retinoic acid receptor responder protein 3 measurement,retinoic acid receptor,D000072482
ADH4/DCXR protein level ratio in blood,ADH4/DCXR protein,
level of soluble scavenger receptor cysteine-rich domain-containing protein SSC5D in blood,level,D000082162
TNFSF12/TNFSF13 protein level ratio in blood,TNFSF12/TNFSF13 protein,
SPINT2/TNFSF13 protein level ratio in blood,SPINT2/TNFSF13 protein level,
MMP1/MMP3 protein level ratio in blood,MMP1/MMP3,
CD160/NCR1 protein level ratio in blood,CD160/NCR1 protein,
NSFL1C/PPCDC protein level ratio in blood,NSFL1C/PPCDC protein,
level of RNA-binding protein Raly in blood,level,D000082162
protein MENT measurement,protein MENT,
REG1A/TFF3 protein level ratio in blood,REG1A/TFF3 protein,
level of protein max in blood,level,D000082162
"pack-years measurement, diastolic blood pressure",pack-years measurement,
AZU1/CEACAM8 protein level ratio in blood,AZU1/CEACAM8 protein,
fatty acid desaturase enzyme activity attribute,fatty acid,D000090943
NT5C3A/PRDX5 protein level ratio in blood,NT5C3A/PRDX5 protein,
"total trans-18:1 fatty acid measurement, trans fatty acid measurement, trans-16:1n-7 fatty acid measurement",total trans-18:1,
IGF2R/RNASET2 protein level ratio in blood,blood,D001769
SRC/SULT1A1 protein level ratio in blood,SRC/SULT1A1 protein,
BSG/LY9 protein level ratio in blood,BSG/LY9 protein,
alcohol dehydrogenase 4 measurement,alcohol dehydrogenase 4,
"chronic kidney disease, Proteinuria",chronic kidney disease,D012080
CST3/defensin alpha protein level ratio in blood,CST3/defensin alpha protein,
level of extracellular glycoprotein lacritin in blood,level,D000082162
alcohol dependence measurement,alcohol dependence measurement,
cysteine-rich secretory protein LCCL domain-containing 2 measurement,cysteine-rich secretory protein LCCL domain-containing 2 measurement,
DKK1/SPARC protein level ratio in blood,DKK1/SPARC protein,
PLIN3/TYMP protein level ratio in blood,PLIN3/TYMP protein,
"alkaline phosphatase measurement, diet measurement",alkaline phosphatase measurement,
CTRB1/KIRREL2 protein level ratio in blood,CTRB1/KIRREL2 protein,
ADAMTS8/FAP protein level ratio in blood,ADAMTS8/FAP protein,
GYS1/ITGB1BP2 protein level ratio in blood,protein level,
MPI/PPCDC protein level ratio in blood,MPI/PPCDC protein,
BCR/DECR1 protein level ratio in blood,BCR/DECR1 protein,
EBAG9/TXLNA protein level ratio in blood,EBAG9/TXLNA protein,
DECR1/TST protein level ratio in blood,DECR1/TST protein,
CA4/PECAM1 protein level ratio in blood,CA4/PECAM1 protein,
EBAG9/TDRKH protein level ratio in blood,EBAG9/TDRKH protein,
"39S ribosomal protein L33, mitochondrial measurement",39S ribosomal protein,
CIAPIN1/TYMP protein level ratio in blood,CIAPIN1/TYMP protein,
BLVRB/CA3 protein level ratio in blood,BLVRB/CA3 protein,
CRTAM/KLRD1 protein level ratio in blood,CRTAM/KLRD1 protein,
EDAR/PRDX5 protein level ratio in blood,EDAR/PRDX5 protein,
HEXIM1/NUB1 protein level ratio in blood,blood,D001769
bitter non-alcoholic beverage consumption measurement,non-alcoholic beverage consumption measurement,
"polycystic ovary syndrome, type 2 diabetes mellitus",polycystic ovary syndrome,D011085
marginal zone B- and B1-cell-specific protein measurement,marginal zone,D018442
"total trans-18:1 fatty acid measurement, cis/trans-18:2 fatty acid measurement, trans fatty acid measurement",total trans-18:1,
protein CEI measurement,protein CEI,
DKK1/SDC4 protein level ratio in blood,protein level,
MITD1/TBCB protein level ratio in blood,MITD1/TBCB protein,
"gut microbiome measurement, bone tissue density",gut microbiome,
vitamin A amount,vitamin A,D014801
NUB1/SRPK2 protein level ratio in blood,NUB1/SRPK2 protein,
CXCL11/SDC4 protein level ratio in blood,CXCL11/SDC4 protein,
ATOX1/MSRA protein level ratio in blood,ATOX1/MSRA protein,
"systolic blood pressure, cigarettes per day measurement",systolic blood pressure,
HNRNPK/VASH1 protein level ratio in blood,HNRNPK/VASH1 protein level,
alcoholic liver disease,alcoholic liver disease,
CXCL11/DKK1 protein level ratio in blood,CXCL11/DKK1 protein,
"LDL cholesterol change measurement, response to antipsychotic drug",LDL cholesterol change measurement,
"pulse pressure measurement, alcohol consumption quality",pulse pressure measurement,
"total cholesterol measurement, coronary artery disease",total cholesterol measurement,
"HDL cholesterol change measurement, response to antipsychotic drug",HDL cholesterol change measurement,
level of C-Maf-inducing protein in blood,level,D000082162
TGFBR2/TNFRSF19 protein level ratio in blood,TGFBR2/TNFRSF19 protein,
AHSP/HMBS protein level ratio in blood,AHSP/HMBS protein,
brevican core protein measurement,brevican,D058581
dickkopf‐related protein 1 measurement,measurement,D054791
rac GTPase-activating protein 1 measurement,GTPase-activating protein 1,
CALCOCO1/TBC1D23 protein level ratio in blood,CALCOCO1/TBC1D23 protein,
level of angiopoietin-related protein 1 in blood serum,level,D000082162
caffeine metabolite measurement,caffeine metabolite,
RWDD1/VTA1 protein level ratio in blood,RWDD1/VTA1 protein,
DSG3/NECTIN4 protein level ratio in blood,DSG3/NECTIN4 protein,
"insulin sensitivity measurement, insulin response measurement",insulin sensitivity,
"diastolic blood pressure, alcohol consumption quality",diastolic blood pressure,
CDH3/NECTIN4 protein level ratio in blood,CDH3/NECTIN4 protein,
GZMB/IL15 protein level ratio in blood,GZMB/IL15 protein,
CALCOCO1/ERBIN protein level ratio in blood,CALCOCO1/ERBIN protein,
JAM2/TNFRSF19 protein level ratio in blood,JAM2/TNFRSF19 protein,
protein turtle homolog A measurement,protein,D048948
BCR/PLXNA4 protein level ratio in blood,BCR/PLXNA4 protein,
amount of growth arrest-specific protein 6 (human) in blood,amount,
magnesium transporter NIPA4 measurement,magnesium transporter,
level of tudor and KH domain-containing protein in blood,level,D000082162
CCAAT/enhancer-binding protein beta measurement,CCAAT/enhancer-binding protein,D022763
omega-6:omega-3 polyunsaturated fatty acid ratio,omega-6:omega-3,
"BMI-adjusted waist-hip ratio, sex interaction measurement, age at assessment",BMI-adjusted waist-hip ratio,
age of onset of type 1 diabetes mellitus,age,D000099087
"smoking behavior, BMI-adjusted waist-hip ratio",smoking behavior,
EREG/GYS1 protein level ratio in blood,EREG/GYS1 protein,
total lipids in medium VLDL,lipids,D008055
"systolic blood pressure, response to low sodium diet",systolic blood pressure,
level of GTP cyclohydrolase 1 feedback regulatory protein in blood,level,D000082162
prediabetes syndrome,prediabetes syndrome,
"trait in response to thiazide, glucose measurement",trait,D000071421
AKT1S1/PMVK protein level ratio in blood,AKT1S1/PMVK,
CALCOCO1/PFKFB2 protein level ratio in blood,CALCOCO1/PFKFB2 protein,
magnesium measurement,magnesium measurement,
level of scavenger receptor cysteine-rich domain-containing group B protein in blood,level,D000082162
FHIT/PMVK protein level ratio in blood,FHIT/PMVK protein,
DAPP1/IRAK4 protein level ratio in blood,DAPP1/IRAK4 protein,
apolipoprotein A 1 measurement,apolipoprotein A 1,
ACVRL1/TNFRSF19 protein level ratio in blood,ACVRL1/TNFRSF19 protein,
"migraine disorder, glucose measurement",migraine disorder,D008881
insulin-like protein amount,insulin-like protein,
MANSC domain-containing protein 1 measurement,MANSC domain-containing protein 1 measurement,
AXIN1/IRAK4 protein level ratio in blood,AXIN1/IRAK4 protein,
phospholipids in medium HDL measurement ,phospholipids,D010743
"attention deficit hyperactivity disorder, schizophrenia, obesity",attention,D001288
ARSA/GUSB protein level ratio in blood,ARSA/GUSB protein,
CD5/TNFRSF9 protein level ratio in blood,CD5/TNFRSF9 protein,
CRADD/EREG protein level ratio in blood,CRADD/EREG protein,
calcium/calmodulin-dependent protein kinase type 1 measurement,calcium/calmodulin-dependent protein kinase,D054737
ERBB2/GUSB protein level ratio in blood,ERBB2/GUSB,
HLAE/LILRB1 protein level ratio in blood,HLAE/LILRB1 protein,
seizure 6-like protein 2 measurement,measurement,D054791
FKBP1B/PRDX5 protein level ratio in blood,FKBP1B/PRDX5 protein,
v-set and transmembrane domain-containing protein 4 measurement,transmembrane domain-containing protein 4,
level of T-cell surface glycoprotein CD1c in blood serum,level,D000082162
E3 ubiquitin-protein ligase DTX1 measurement,E3 ubiquitin-protein ligase DTX1,
BIN2/CIAPIN1 protein level ratio in blood,BIN2/CIAPIN1 protein,
FXYD5/SPRY2 protein level ratio in blood,FXYD5/SPRY2 protein,
GZMA/GZMB protein level ratio in blood,GZMA/GZMB protein,
T-cell surface glycoprotein CD3 epsilon chain measurement,T-cell surface,
EREG/MPI protein level ratio in blood,EREG/MPI protein,
lipid measurement,lipid measurement,
voltage-dependent calcium channel subunit alpha-2/delta-3 measurement,voltage-dependent calcium channel subunit,
serum zinc amount,serum,D044967
CD93/CLEC14A protein level ratio in blood,CD93/CLEC14A protein,
CA1/CA2 protein level ratio in blood,CA1/CA2 protein,
"insulin sensitivity measurement, body mass index",insulin sensitivity,
GOPC/IRAK4 protein level ratio in blood,GOPC/IRAK4 protein,
ARHGEF12/IRAK4 protein level ratio in blood,ARHGEF12/IRAK4 protein,
GP1BA/SELP protein level ratio in blood,GP1BA/SELP protein,
"major depressive episode, attention deficit hyperactivity disorder, schizophrenia, obesity",depressive episode,
insulin-like growth factor-binding protein 6 amount,insulin-like growth factor-binding protein,D018970
CD46/SELP protein level ratio in blood,CD46/SELP protein,
SCARF2/TNFRSF21 protein level ratio in blood,SCARF2/TNFRSF21 protein,
PDLIM7/PPP1R9B protein level ratio in blood,PDLIM7/PPP1R9B protein,
ANGPT1/PDGFB protein level ratio in blood,ANGPT1/PDGFB protein,
ABHD14B/APRT protein level ratio in blood,ABHD14B/APRT protein,
CD27/ICAM3 protein level ratio in blood,CD27/ICAM3 protein,
CA3/HMBS protein level ratio in blood,CA3/HMBS protein,
CD69/PLXNA4 protein level ratio in blood,CD69/PLXNA4 protein,
SDC4/SELP protein level ratio in blood,SDC4/SELP protein,
ENO1/VTA1 protein level ratio in blood,ENO1/VTA1,
"systolic blood pressure, waist-hip ratio",systolic blood pressure,
Iron deficiency anemia,Iron deficiency,D018798
BLVRB/HMBS protein level ratio in blood,BLVRB/HMBS protein,
level of protein AMBP in blood,level,D000082162
MED18/TBL1X protein level ratio in blood,protein level,
BIN2/CORO1A protein level ratio in blood,BIN2/CORO1A,
SELP/VSIR protein level ratio in blood,SELP/VSIR protein,
BIN2/CNST protein level ratio in blood,BIN2/CNST protein,
CD38/interleukin 12 protein level ratio in blood,CD38/interleukin,
protein-tyrosine sulfotransferase 1 measurement,protein-tyrosine sulfotransferase 1 measurement,
GPKOW/PXN protein level ratio in blood,GPKOW/PXN protein,
PLXNA4/SPRY2 protein level ratio in blood,PLXNA4/SPRY2 protein,
ITGB1/SELP protein level ratio in blood,ITGB1/SELP protein,
B4GALT1/LRP11 protein level ratio in blood,B4GALT1/LRP11 protein,
"mean arterial pressure, response to low sodium diet",sodium diet,D012982
DECR1/FKBP1B protein level ratio in blood,DECR1/FKBP1B protein,
ESAM/THPO protein level ratio in blood,ESAM/THPO protein,
total lipids in medium HDL measurement ,lipids,D008055
NPY/SMOC1 protein level ratio in blood,NPY/SMOC1 protein,
COLEC12/LAIR1 protein level ratio in blood,COLEC12/LAIR1 protein,
NBL1/NECTIN4 protein level ratio in blood,NBL1/NECTIN4 protein,
CALCOCO1/IRAG2 protein level ratio in blood,CALCOCO1/IRAG2 protein,
"COVID-19, obesity",COVID-19,D000086382
BIN2/TMSB10 protein level ratio in blood,BIN2/TMSB10 protein,
phospholipids in very large HDL measurement ,phospholipids,D010743
AXL/MSR1 protein level ratio in blood,AXL/MSR1 protein,
NCS1/NPY protein level ratio in blood,NCS1/NPY,
cholesterol to total lipids in very large HDL percentage ,cholesterol,D002784
HSPA1A/WWP2 protein level ratio in blood,HSPA1A/WWP2 protein,
seasonal gut microbiome measurement,seasonal gut microbiome measurement,
"schizophrenia, obsessive-compulsive symptom measurement, anorexia nervosa, type 2 diabetes mellitus",schizophrenia,D012559
"omega-3 polyunsaturated fatty acid measurement, C-reactive protein measurement",omega-3,D015525
palmitoleoyl-protein carboxylesterase NOTUM measurement,palmitoleoyl-protein carboxylesterase NOTUM measurement,
CALCOCO1/INPPL1 protein level ratio in blood,CALCOCO1/INPPL1 protein,
level of disintegrin and metalloproteinase domain-containing protein 15 in blood,level,D000082162
insulin-like growth factor-binding protein 1 amount,insulin-like growth factor-binding protein 1,D018970
ARG1/PKLR protein level ratio in blood,protein level,
AXIN1/CALCOCO1 protein level ratio in blood,AXIN1/CALCOCO1 protein,
OCIA domain-containing protein 1 measurement,OCIA,
FOXO1/FOXO3 protein level ratio in blood,FOXO1/FOXO3 protein,
ER membrane protein complex subunit 4 measurement,ER membrane protein complex,
25-hydroxyvitamin D3 measurement,25-hydroxyvitamin D3 measurement,
level of platelet basic protein in blood,level,D000082162
"signal peptide, CUB and EGF-like domain-containing protein 1 measurement",signal peptide,D056925
metalloproteinase inhibitor 1 measurement,metalloproteinase,D020781
dentin matrix acidic phosphoprotein 1 amount,dentin matrix acidic phosphoprotein 1 amount,
aggrecan core protein measurement,aggrecan core protein measurement,
PIK3IP1/TNFRSF1B protein level ratio in blood,PIK3IP1/TNFRSF1B protein,
IRAK4/MGMT protein level ratio in blood,blood,D001769
level of amyloid-beta precursor protein in blood,level,D000082162
NELL2/SEZ6L protein level ratio in blood,NELL2/SEZ6L protein,
B-cell lymphoma 6 protein measurement,protein measurement,
glucokinase regulatory protein measurement,regulatory protein,D051017
DCN1-like protein 5 measurement,DCN1-like protein 5,
FLT3/FLT3LG protein level ratio in blood,FLT3/FLT3LG protein,
PKLR/UBAC1 protein level ratio in blood,PKLR/UBAC1 protein,
erythroid membrane-associated protein measurement,erythroid membrane-associated protein measurement,
anterior gradient protein 2 homolog measurement,anterior,D057971
CD84/SEMA4D protein level ratio in blood,CD84/SEMA4D protein,
GRAP2/IRAK4 protein level ratio in blood,GRAP2/IRAK4 protein,
PKLR/TGM2 protein level ratio in blood,PKLR/TGM2 protein,
UPF0488 protein C8orf33 measurement,UPF0488 protein,
ACVRL1/SCARB2 protein level ratio in blood,ACVRL1/SCARB2 protein,
EGF-containing fibulin-like extracellular matrix protein 1 measurement,EGF-containing,
CEP43/PLXNB3 protein level ratio in blood,CEP43/PLXNB3 protein,
LHPP/PKLR protein level ratio in blood,LHPP/PKLR protein,
BIN2/STIP1 protein level ratio in blood,BIN2/STIP1 protein,
Insulinogenic index measurement,Insulinogenic index measurement,
uncharacterized protein C17orf78 measurement,uncharacterized protein C17orf78 measurement,
triglycerides to total lipids in large HDL percentage ,triglycerides,D014280
sh2 domain-containing protein 1a measurement,sh2 domain-containing protein 1a,
CHAC2/RABGAP1L protein level ratio in blood,CHAC2/RABGAP1L protein,
tyrosine-protein phosphatase non-receptor type 1 measurement,tyrosine-protein phosphatase non-receptor type 1 measurement,
MGLL/VTA1 protein level ratio in blood,MGLL/VTA1 protein,
ras-related protein Rab-35 measurement,ras-related protein Rab-35 measurement,
"non-alcoholic fatty liver disease, type 2 diabetes mellitus",non-alcoholic fatty liver disease,D065626
CALCOCO1/CRACR2A protein level ratio in blood,CALCOCO1/CRACR2A protein,
"aspartate aminotransferase measurement, diet measurement",aspartate aminotransferase,D024443
level of fibroblast growth factor-binding protein 1 in blood,level,D000082162
"gut microbiome measurement, tobacco smoke exposure measurement",gut microbiome,
CHMP1A/EREG protein level ratio in blood,CHMP1A/EREG protein,
CALCOCO1/VPS53 protein level ratio in blood,CALCOCO1/VPS53 protein,
"leptin measurement, blood insulin amount",leptin,D020738
NCF2/NMNAT1 protein level ratio in blood,NCF2/NMNAT1 protein,
CARHSP1/HMBS protein level ratio in blood,CARHSP1/HMBS protein,
level of protein farnesyltransferase/geranylgeranyltransferase type-1 subunit alpha in blood,level,D000082162
cholesterol esters in large HDL measurement,cholesterol esters,D002788
cholesterol to total lipids in medium HDL percentage ,cholesterol,D002784
"HDL cholesterol change measurement, physical activity",HDL cholesterol change measurement,
LRP11/ROR1 protein level ratio in blood,LRP11/ROR1 protein,
complement factor H-like 1 protein measurement,complement factor H-like 1 protein,
KLK6/MOG protein level ratio in blood,KLK6/MOG protein,
CALCOCO1/MAP3K5 protein level ratio in blood,CALCOCO1/MAP3K5 protein,
apolipoprotein E measurement,apolipoprotein E measurement,
PDCD1/TNFRSF9 protein level ratio in blood,PDCD1/TNFRSF9 protein,
RNA-binding protein 24 measurement,RNA-binding protein,D034802
adhesion G protein-coupled receptor E2 measurement,adhesion,D020410
FABP5/PEBP1 protein level ratio in blood,FABP5/PEBP1,
CALCOCO1/PDLIM7 protein level ratio in blood,CALCOCO1/PDLIM7 protein,
DNAJB1/SIRT2 protein level ratio in blood,DNAJB1/SIRT2 protein,
CD74/IL18BP protein level ratio in blood,CD74/IL18BP protein,
Fc receptor-like protein 6 measurement,measurement,D054791
level of V-set and immunoglobulin domain-containing protein 10 in blood,level,D000082162
opioid-binding protein/cell adhesion molecule measurement,opioid-binding,
CCL13/CCL8 protein level ratio in blood,CCL13/CCL8 protein,
CALCOCO1/METAP2 protein level ratio in blood,CALCOCO1/METAP2 protein,
CD74/NPDC1 protein level ratio in blood,CD74/NPDC1 protein,
CREG1/GUSB protein level ratio in blood,CREG1/GUSB protein,
level of growth-regulated alpha protein in blood serum,level,D000082162
CA1/HMBS protein level ratio in blood,CA1/HMBS protein,
ALDH1A1/PTS protein level ratio in blood,ALDH1A1/PTS protein,
IGFBP4/OGN protein level ratio in blood,IGFBP4/OGN protein,
IRAK4/TBCB protein level ratio in blood,IRAK4/TBCB protein,
DNPH1/PKLR protein level ratio in blood,DNPH1/PKLR protein,
BIN2/HARS1 protein level ratio in blood,BIN2/HARS1 protein,
level of receptor-type tyrosine-protein phosphatase F in blood,level,D000082162
BIN2/SNAP29 protein level ratio in blood,BIN2/SNAP29 protein,
FCER2/TNFRSF9 protein level ratio in blood,FCER2/TNFRSF9 protein,
free cholesterol in VLDL measurement ,free cholesterol,
apolipoprotein C measurement,apolipoprotein C measurement,
BANK1/CALCOCO1 protein level ratio in blood,BANK1/CALCOCO1,
BLVRB/PKLR protein level ratio in blood,BLVRB/PKLR protein,
BANK1/IRAK4 protein level ratio in blood,BANK1/IRAK4 protein,
IRAK1/PRKAB1 protein level ratio in blood,IRAK1/PRKAB1 protein,
PKLR/PSMD9 protein level ratio in blood,protein level,
CD27/FCRL5 protein level ratio in blood,CD27/FCRL5 protein,
CX3CL1/EPHB6 protein level ratio in blood,CX3CL1/EPHB6 protein,
MPIG6B/PLXNA4 protein level ratio in blood,MPIG6B/PLXNA4 protein,
CD22/FCRL1 protein level ratio in blood,CD22/FCRL1 protein,
APP/FKBP1B protein level ratio in blood,APP/FKBP1B protein,
protein intake measurement,protein intake,
LRP11/NECTIN2 protein level ratio in blood,LRP11/NECTIN2 protein,
level of cartilage-associated protein in blood,level,D000082162
PLXNA4/USP8 protein level ratio in blood,PLXNA4/USP8 protein,
MPO/PRTN3 protein level ratio in blood,MPO/PRTN3 protein,
"triglyceride measurement, high density lipoprotein cholesterol measurement",triglyceride measurement,
SOST/SPP1 protein level ratio in blood,SOST/SPP1 protein,
ROR1/TNFRSF21 protein level ratio in blood,ROR1/TNFRSF21 protein,
CD99L2/RARRES2 protein level ratio in blood,CD99L2/RARRES2 protein,
free cholesterol to total lipids in small LDL percentage ,free cholesterol,
"obsessive-compulsive disorder, major depressive episode, schizophrenia, obesity",obsessive-compulsive disorder,D009771
"fatty acid amount, blood insulin amount",fatty acid,D000090943
MNDA/NCF2 protein level ratio in blood,MNDA/NCF2 protein,
"vitamin supplement exposure measurement, Cleft palate, cleft lip, parental genotype effect measurement",vitamin supplement,
trem-like transcript 1 protein measurement,trem-like transcript 1 protein,
"total cholesterol change measurement, high density lipoprotein cholesterol measurement",total cholesterol change,
AXIN1/INPPL1 protein level ratio in blood,AXIN1/INPPL1 protein,
"age at diagnosis, type 1 diabetes mellitus",age,D000099087
guanylyl cyclase-activating protein 1 measurement,guanylyl cyclase-activating protein 1,
BIN2/FYB1 protein level ratio in blood,BIN2/FYB1 protein,
"trait in response to hydrochlorothiazide, diastolic blood pressure change measurement",trait,D000071421
SLAMF7/TXNDC15 protein level ratio in blood,SLAMF7/TXNDC15 protein,
FKBP1B/TGFB1 protein level ratio in blood,FKBP1B/TGFB1 protein,
level of low-density lipoprotein receptor-related protein 11 in blood,level,D000082162
GZMA/interleukin 12 protein level ratio in blood,GZMA/interleukin,
ARSA/CREG1 protein level ratio in blood,protein level,
MANSC domain-containing protein 4 measurement,MANSC domain-containing protein 4 measurement,
LTA/LTBR protein level ratio in blood,LTA/LTBR protein,
Abnormality of the dentition,Abnormality,D014102
CALCOCO1/DAB2 protein level ratio in blood,CALCOCO1/DAB2 protein,
protein CREG1 measurement,CREG1,
CALCOCO1/TBC1D5 protein level ratio in blood,CALCOCO1/TBC1D5 protein,
"low density lipoprotein cholesterol measurement, multiple sclerosis",low density lipoprotein cholesterol measurement,
SPRY2/YTHDF3 protein level ratio in blood,SPRY2/YTHDF3,
FCRL5/MZB1 protein level ratio in blood,FCRL5/MZB1 protein,
HMBS/PKLR protein level ratio in blood,HMBS/PKLR protein,
CD74/DLL1 protein level ratio in blood,CD74/DLL1 protein,
follistatin-related protein 3 measurement,follistatin-related protein 3,
HAGH/PKLR protein level ratio in blood,HAGH/PKLR protein,
AXIN1/NFATC1 protein level ratio in blood,AXIN1/NFATC1 protein,
insulin response measurement,insulin response,
ALDH1A1/PKLR protein level ratio in blood,ALDH1A1/PKLR protein,
CEP20/PRKRA protein level ratio in blood,CEP20/PRKRA protein,
EPO/TFRC protein level ratio in blood,EPO/TFRC protein,
Fc receptor-like protein 1 measurement,measurement,D054791
"childhood trauma measurement, alcohol consumption quality",childhood,D000076783
level of adhesion G-protein coupled receptor G1 in blood,level,D000082162
LAYN/ULBP2 protein level ratio in blood,LAYN/ULBP2 protein,
CDH3/TNFRSF21 protein level ratio in blood,CDH3/TNFRSF21 protein,
Fc receptor-like protein 4 measurement,measurement,D054791
BCAM/EPO protein level ratio in blood,BCAM/EPO protein,
"systolic blood pressure, major depressive disorder",systolic blood pressure,
group XIIB secretory phospholipase A2-like protein measurement,group,D000017
"uridine diphosphate galactose measurement, uridine diphosphate glucose measurement",uridine,D014529
SEZ6L/SEZ6L2 protein level ratio in blood,SEZ6L/SEZ6L2 protein,
Fc receptor-like protein 3 measurement,measurement,D054791
"colorectal cancer, alcohol consumption quality",colorectal cancer,
CALCOCO1/CASP8 protein level ratio in blood,CALCOCO1/CASP8 protein,
GZMA/LTA protein level ratio in blood,GZMA/LTA protein,
APBB1IP/PXN protein level ratio in blood,APBB1IP/PXN protein,
free cholesterol in medium HDL measurement ,free cholesterol,
OMD/SOST protein level ratio in blood,OMD/SOST protein,
total lipids in small HDL measurement ,lipids,D008055
GLRX/QDPR protein level ratio in blood,GLRX/QDPR protein,
level of cell surface glycoprotein MUC18 in blood,level,D000082162
"remnant cholesterol measurement, blood VLDL cholesterol amount",remnant,D053298
amount of WAP four-disulfide core domain protein 12 (human) in blood,WAP four-disulfide core domain protein,D000081102
CA9/CBLIF protein level ratio in blood,CA9/CBLIF protein,
CEP43/USP8 protein level ratio in blood,CEP43/USP8 protein,
cholesteryl esters to total lipids in large LDL percentage ,cholesteryl esters,
BMP-binding endothelial regulator protein measurement,BMP-binding,
calcium measurement,calcium measurement,
PLA2G4A/PPP1R12A protein level ratio in blood,PLA2G4A/PPP1R12A protein,
level of fatty acid-binding protein 9 in blood,level,D000082162
PR domain zinc finger protein 1 measurement,PR,D000074463
level of receptor-type tyrosine-protein phosphatase mu in blood,level,D000082162
CD22/TNFRSF13C protein level ratio in blood,CD22/TNFRSF13C protein,
level of forkhead box protein J3 in blood,level,D000082162
ERBB3/IL1R2 protein level ratio in blood,ERBB3/IL1R2 protein,
BLVRB/CA2 protein level ratio in blood,BLVRB/CA2 protein,
AMBP/HYOU1 protein level ratio in blood,protein level,
cholesterol in medium HDL measurement ,cholesterol,D002784
FCRL6/GZMA protein level ratio in blood,FCRL6/GZMA protein,
CALCOCO1/CASP3 protein level ratio in blood,CALCOCO1/CASP3 protein,
level of SPARC-related modular calcium-binding protein 2 in blood serum,level,D000082162
CD244/FCRL6 protein level ratio in blood,CD244/FCRL6 protein,
STK4/VTA1 protein level ratio in blood,STK4/VTA1 protein,
protein C measurement,protein C measurement,
"leptin measurement, type 2 diabetes mellitus",leptin,D020738
PCDH17/THBD protein level ratio in blood,PCDH17/THBD protein,
level of dipeptidyl aminopeptidase-like protein 6 in blood,level,D000082162
CCL2/CCL7 protein level ratio in blood,CCL2/CCL7 protein,
RNF41/SH2B3 protein level ratio in blood,RNF41/SH2B3 protein,
level of coiled-coil domain-containing glutamate-rich protein 2 (human) in blood,level,D000082162
type 1 diabetes mellitus,type 1 diabetes mellitus,
level of serum globulin type protein,level,D000082162
BIN2/NCK2 protein level ratio in blood,BIN2/NCK2 protein,
level of zona pellucida sperm-binding protein 3 in blood,level,D000082162
level of small proline-rich protein 3 in blood,level,D000082162
GSTA1/KRT18 protein level ratio in blood,GSTA1/KRT18 protein,
BIN2/VTA1 protein level ratio in blood,BIN2/VTA1 protein,
SUSD1/THPO protein level ratio in blood,SUSD1/THPO protein,
cholesterol in small HDL measurement ,cholesterol,D002784
CA2/CA3 protein level ratio in blood,CA2/CA3 protein,
MMP8/PGLYRP1 protein level ratio in blood,MMP8/PGLYRP1 protein,
level of peptidoglycan recognition protein 4 in blood serum,level,D000082162
ALCAM/ICAM3 protein level ratio in blood,ALCAM/ICAM3 protein,
EH domain-binding protein 1 measurement,measurement,D054791
serum galactose-deficient IgA1 amount,serum,D044967
transmembrane protein 9 measurement,transmembrane protein,
ALDH1A1/CA2 protein level ratio in blood,ALDH1A1/CA2 protein,
